This Talk2U-CSEF-hate-speech-pilot-dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content from the Talk2U-CSEF-hate-speech-pilot-dataset is made available under the CC BY-NC. Attibutions to Talk2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61096559,2023-04-11 4:42:38,2023-04-15 12:28:22,,a,LGBT 2 - Victim,,,2023-04-11T04:44:39.959778-03:00,1,0,Feminino,End of experience,Observer - React,4,as,E,4,Yes,2023-04-11T04:42:38.992926-03:00,Yes,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,Observer,Don't react,e87fb89e-9929-4659-bc7d-36debe3b8f71,,,5,1991,2023-04-12T17:54:58.369415-03:00,10,10,,,10,10,2023-04-11T08:43:02.717581-03:00,5,,,,,,,,,,,,,7,5,,,7,2611,2023-04-15T12:06:41.388606-03:00,10,10,,10,2023-04-13T16:35:28.533622-03:00,5,,0,,,,,7,,,,,,,,,,,,,,,10,7,1359,2023-04-13T16:35:06.123891-03:00,10,10,,,7,2023-04-12T17:55:21.248560-03:00,5,,,223,2023-04-11T08:41:52.915228-03:00,5,C,"Acho um bom exercício para reagir antes de tomar uma decisão ruim, mas ainda não respondeu a minha dúvida sobre como ajudar uma pessoa que sofre com discurso de ódio.",2023-04-11T04:58:47.599730-03:00,3,,13-04-2023 16:46,,,,yes,,,,,,,,,,,,,,13,04,2023,1,,Jonas,,UNICEF - recruitment,,,,,,,,,,,
61058698,2023-04-10 14:51:40,2023-04-24 19:11:43,,a,,,,,,,,Research Wave 1,Observer - React,0,as,,4,Yes,2023-04-10T14:51:40.763431-03:00,Yes,Provavelmente não,Definitivamente,Provavelmente,Definitivamente não,,7,7,CE,,,,,,,4,1,9,,4,5,20,Female,,Pardo,Provavelmente,Definitivamente,Não sei dizer,Provavelmente não,2023-04-10T15:12:01.403644-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,Definitivamente não,Provavelmente,Provavelmente,Provavelmente,Provavelmente,Não sei dizer,Definitivamente não,Provavelmente não
62199587,2023-04-19 22:49:15,2023-04-24 22:50:12,,o,,,,,,,,Screening,Observer - Don't React,0,os,,2,Yes,2023-04-19T22:49:15.703659-03:00,Yes,Definitivamente,Definitivamente não,Provavelmente,Definitivamente não,,8,9,PA,,,,,,,3,2,8,,,,25,Male,,Branco,Definitivamente não,Definitivamente não,Provavelmente,Definitivamente não,2023-04-19T22:55:01.843116-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,Provavelmente,Provavelmente,Definitivamente não,Provavelmente não,Definitivamente,Provavelmente,Definitivamente não,Definitivamente não
61061012,2023-04-10 16:04:48,2023-04-25 21:52:22,,a,,,,,,,,Research Wave 1,Observer - React,0,as,,4,Yes,2023-04-10T16:04:48.893836-03:00,Yes,Provavelmente,Definitivamente não,Provavelmente,Provavelmente não,,8,8,AL,,,,,,,5,5,7,,9,9,24,Female,,Branco,Definitivamente,Definitivamente não,Provavelmente,Provavelmente não,2023-04-10T16:24:29.338179-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,Provavelmente,Provavelmente,Definitivamente não,Definitivamente não,Provavelmente,Definitivamente,Provavelmente não,Provavelmente não
61097856,2023-04-11 8:24:39,2023-04-11 10:04:13,,a,Gordofobia - Victim,,,2023-04-11T08:32:05.459256-03:00,2,0,Feminino,End of experience,Observer - Don't React,1,as,,1,Yes,2023-04-11T08:24:39.729584-03:00,Yes,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,Observer,Don't react,cd1edd42-cce1-4d20-9919-7968a12d4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,10,2023-04-11T09:36:51.634606-03:00,,,0,,,,,,,,,,,,,,,,,,,,,7,18,2023-04-11T09:36:13.520178-03:00,2,10,,,7,2023-04-11T09:18:12.022335-03:00,5,,,,,,,,,,,11-04-2023 09:27,,,,,,,,,,,,,,,,,,11,04,2023,1,,Fernanda,,UNICEF - recruitment,,,,,,,,,,,
61458488,2023-04-15 5:39:23,2023-04-18 10:39:01,,a,LGBT 2 - Observer,,,2023-04-15T07:20:04.109665-03:00,1,0,Feminino,TAP_7,Victim - React,1,as,,7,Yes,2023-04-15T05:39:23.742585-03:00,Yes,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,Victim,React,a75f0034-9dca-4596-a840-32544ed2fc98,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,2023-04-15T10:38:09.459422-03:00,8,,,2023-04-15T09:28:13.962936-03:00,5,,15-04-2023 09:29,"""""",,,,,,,,,,,,,,,,,15,04,2023,1,,Jonas,,Social media recruitment,,,,,,,,,,,
61096843,2023-04-11 6:44:45,2023-04-18 14:10:43,,a,LGBT 2 - Victim,,,2023-04-11T12:38:18.045937-03:00,,0,Feminino,Screening,,0,as,,,Yes,2023-04-11T06:44:46.260679-03:00,Yes,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,90ad04da-123b-42f8-9e20-dfa4f72e66d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-04-2023 14:07,"""""",,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,,,,,,,,,,
60358783,2023-03-25 16:35:35,2023-04-20 15:42:08,,o,,,,,2,,,HTP_3,Observer - Don't React,1,os,,2,Yes,2023-03-25T16:35:35.990650-03:00,Yes,Provavelmente não,Provavelmente não,Não sei dizer,Provavelmente,,7,8,BA,,,,,,,4,4,7,,7,7,23,Male,,Pardo,Provavelmente,Não sei dizer,Provavelmente,Definitivamente,2023-03-25T16:39:59.844033-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,5,2023-04-03T14:39:46.857419-03:00,,,1,,,,,,,,,,,,,,,,,,,,,7,33,2023-03-28T21:52:35.405552-03:00,9,8,,,5,2023-03-28T21:19:34.059763-03:00,5,,,,,,,,,,,03-04-2023 14:41,,,,,,,,,,,,,,,,,,28,03,2023,1,,Fernanda,,,,W2 - Research,8,Provavelmente,Não sei dizer,Provavelmente não,Provavelmente,Definitivamente,Definitivamente,Provavelmente,Definitivamente
61092730,2023-04-10 21:04:33,2023-04-27 17:40:09,,a,,,,,2,,,Research Wave 1,Observer - React,0,as,,4,Yes,2023-04-10T21:04:33.770697-03:00,Yes,Definitivamente,Não sei dizer,Não sei dizer,Não sei dizer,,8,,SP,,,,,,,4,5,8,,,,25,Female,,Branco,Definitivamente,Não sei dizer,Provavelmente,Não sei dizer,2023-04-10T21:08:24.954306-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-10T21:13:04.731620-03:00,,,10-04-2023 21:10,,,,,,,,,,,,,,,,,,,,,,,Fernanda,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61354860,2023-04-11 12:15:36,2023-04-24 16:42:58,,o,,,,,1,,,AP_6,Victim - Don't React,0,os,a,5,Yes,2023-04-11T12:15:37.158510-03:00,Yes,Provavelmente,Provavelmente não,Provavelmente,Definitivamente não,,8,,GO,,,,,,,5,2,6,,4,6,23,Male,,Pardo,não,Definitivamente,Definitivamente não,Definitivamente não,2023-04-11T12:24:44.535861-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,6,,,6,,,,0,2023-04-19T11:59:46.608535-03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-04-2023 12:01,,,,,As estratégias,,,,b,,Reduzir a duração.,,,,,,,,,,,,Jonas,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61378830,2023-04-11 21:52:06,2023-04-24 16:44:39,,o,,,,,1,,,Research Wave 1,Observer - React,1,os,E,4,Yes,2023-04-11T21:52:06.998044-03:00,Yes,Provavelmente não,Definitivamente não,Provavelmente não,Definitivamente não,,10,,BA,,,,,,,5,2,10,,,,25,Male,,Pardo,Definitivamente não,Definitivamente não,Provavelmente,Definitivamente não,2023-04-11T23:52:14.451306-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,5,,,10,0,B,Sair,10,10,2023-04-12T08:46:15.431941-03:00,1,Sair,,,,,,,,,,,,7,5,,,,,,,,,,,,,3,,,,,10,,,,,,,,,,,,,,,0,,,,,,,,,,,,,9,2023-04-12T00:05:31.459526-03:00,10,,,2023-04-11T23:55:35.363654-03:00,5,,12-04-2023 08:51,,,,yes,,,,,,,,,,,,,,12,04,2023,1,,Jonas,,UNICEF - recruitment,Falta de tempo,W2 - Research,,,,,,,,,
60220653,2023-03-21 15:50:26,2023-04-04 15:51:16,,o,,,,,1,,,Research Wave 1,Victim - React,0,os,,7,Yes,2023-03-21T15:50:26.447207-03:00,Yes,Provavelmente não,Definitivamente não,Definitivamente,Provavelmente não,,8,,MG,,,,,,,5,5,8,,,,29,Male,,Pardo,Provavelmente,Não sei dizer,Definitivamente,Definitivamente não,2023-03-21T15:55:19.114187-03:00,Victim,React,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-03-2023 15:57,,,,,,,,,,,,,,,,,,,,,,,Jonas,,Friends&Family,,W2 - Research,,,,,,,,,
61093357,2023-04-10 21:31:14,2023-04-27 17:40:08,,a,,,,,,,,Research Wave 1,Victim - Don't React,0,as,,5,Yes,2023-04-10T21:31:14.849250-03:00,Yes,Provavelmente,Provavelmente não,Definitivamente,Provavelmente não,,8,,SP,,,,,,,4,5,7,,9,9,19,Female,,Branco,Provavelmente,Provavelmente,Provavelmente,Definitivamente não,2023-04-10T21:43:30.993404-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61448413,2023-04-14 15:29:17,2023-04-24 19:03:23,,a,,,,,,,,Research Wave 1,Observer - React,0,as,,4,Yes,2023-04-14T15:29:18.205447-03:00,Yes,Provavelmente,Provavelmente não,Provavelmente,Provavelmente não,,5,4,SP,,,,,,,4,4,6,,6,6,20,Female,,Branco,Provavelmente,Definitivamente,Definitivamente,Não sei dizer,2023-04-14T15:40:03.518667-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,4,,,,,,,,
61092759,2023-04-10 21:05:25,2023-04-27 17:40:13,,o,,,,,,,,Research Wave 1,Observer - React,0,os,,4,Yes,2023-04-10T21:05:25.456722-03:00,Yes,Definitivamente,Não sei dizer,Provavelmente não,Definitivamente não,,9,,RN,,,,,,,3,2,9,,9,8,18,Male,,Pardo,Definitivamente não,Definitivamente,Definitivamente,Definitivamente não,2023-04-10T21:14:19.661820-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61350284,2023-04-11 9:49:14,2023-04-27 17:44:15,,a,,,,,,,,Research Wave 1,Victim - Don't React,0,as,,5,Yes,2023-04-11T09:49:15.301946-03:00,Yes,Provavelmente não,Provavelmente não,Provavelmente,Definitivamente não,,5,,SP,,,,,,,4,5,6,,5,6,18,Female,,Preto,Não,Definitivamente não,Definitivamente,Definitivamente não,2023-04-11T10:01:57.210233-03:00,Victim,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,6,Não sei dizer,Provavelmente,Provavelmente não,Provavelmente não,Provavelmente não,Provavelmente,Definitivamente não,Definitivamente não
61396803,2023-04-12 16:05:16,2023-04-24 16:43:21,,o,,,,,,,,Research Wave 1,Never Experienced,0,os,,2,Yes,2023-04-12T16:05:16.720109-03:00,Yes,Provavelmente,Provavelmente,Não sei dizer,Provavelmente,,8,,AL,,,,,,,4,1,7,,8,7,21,Male,,Pardo,não,Provavelmente,Definitivamente,Provavelmente não,2023-04-12T16:13:50.211587-03:00,Never had contact,,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,,,,,,,,,
61395237,2023-04-12 15:07:50,2023-04-24 18:59:54,,o,,,,,,,,Research Wave 1,Observer - Don't React,0,os,,2,Yes,2023-04-12T15:07:50.438902-03:00,Yes,Não sei dizer,Provavelmente não,Definitivamente,Definitivamente não,,8,8,PB,,,,,,,4,2,8,,8,8,20,Male,,Branco,Provavelmente,Não sei dizer,Definitivamente,Provavelmente não,2023-04-12T15:18:56.677547-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,8,,,,,,,,
61354619,2023-04-11 12:07:04,2023-04-24 18:47:01,,a,,,,,,,,Research Wave 1,Observer - Don't React,0,as,,2,Yes,2023-04-11T12:07:04.571086-03:00,Yes,Provavelmente,Não sei dizer,Definitivamente,Definitivamente não,,8,5,SP,,,,,,,4,4,7,,7,7,20,Female,,Preto,Definitivamente,Provavelmente,Definitivamente,Definitivamente não,2023-04-11T12:13:43.988965-03:00,Observer,Don't react,8bd189a4-9c51-4c6d-9742-d3651739ff75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNICEF - recruitment,,W2 - Research,3,Provavelmente,Definitivamente,Não sei dizer,Provavelmente,Provavelmente não,Definitivamente,Definitivamente não,Definitivamente não
